Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,SAMBAN,460.750000,-,10.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
1,KDR 01,444.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,KDR 02,444.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,KDR 03,444.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,KDR 04,444.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,KDR 05,444.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,KDR 06,444.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,KDR 07,444.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,KDR 08,444.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,PMR 01,446.006250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
11,PMR 02,446.018750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
12,PMR 03,446.031250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
13,PMR 04,446.043750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
14,PMR 05,446.056250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
15,PMR 06,446.068750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
16,PMR 07,446.081250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
17,PMR 08,446.093750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
18,PMR 09,446.106250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
19,PMR 10,446.118750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
20,PMR 11,446.131250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
21,PMR 12,446.143750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
22,PMR 13,446.156250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
23,PMR 14,446.168750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
24,PMR 15,446.181250,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
25,PMR 16,446.193750,,0.000000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
26,SBT 01,461.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,SBT 02,460.150000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
28,TRIANGL,446.100000,-,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,FIRE MA,445.000000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
30,VAKTARE,167.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
31,TAXI 01,421.568750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,TAXI 02,421.681250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
100,JAG 01,155.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
101,JAG 02,155.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
102,JAG 03,155.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,JAG 04,155.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
104,JAG 05,155.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
105,JAG 06,155.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,JAG 07,155.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
125,RV62,145.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
126,OZ1REK,434.962500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
127,SK7ES,434.525000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
